time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,Open time,Close time
2022-11-01T06:30:31.8180000Z,2022-11-01T06:34:58.6280000Z,20615,20625,20596,20596,2.41971417,24,2022-11-01 06:30:00+00:00,2022-11-01 06:35:00+00:00
2022-11-01T06:35:07.0900000Z,2022-11-01T06:39:58.2650000Z,20597,20613,20597,20613,26.17277713,63,2022-11-01 06:35:00+00:00,2022-11-01 06:40:00+00:00
2022-11-01T06:40:00.2670000Z,2022-11-01T06:44:56.8820000Z,20614,20638,20614,20637,3.57672071,28,2022-11-01 06:40:00+00:00,2022-11-01 06:45:00+00:00
2022-11-01T06:45:03.0560000Z,2022-11-01T06:49:59.8470000Z,20637,20637,20623,20625,6.69253644,47,2022-11-01 06:45:00+00:00,2022-11-01 06:50:00+00:00
2022-11-01T06:50:30.7670000Z,2022-11-01T06:54:53.9270000Z,20624,20626,20615,20618,2.92372131,34,2022-11-01 06:50:00+00:00,2022-11-01 06:55:00+00:00
2022-11-01T06:55:12.2880000Z,2022-11-01T06:59:59.4450000Z,20620,20624,20613,20622,1.26931967,46,2022-11-01 06:55:00+00:00,2022-11-01 07:00:00+00:00
2022-11-01T07:00:06.9500000Z,2022-11-01T07:04:44.1290000Z,20622,20629,20603,20606,15.19482212,69,2022-11-01 07:00:00+00:00,2022-11-01 07:05:00+00:00
2022-11-01T07:05:03.9350000Z,2022-11-01T07:09:55.5760000Z,20604,20637,20604,20632,2.74049031,30,2022-11-01 07:05:00+00:00,2022-11-01 07:10:00+00:00
2022-11-01T07:10:18.6480000Z,2022-11-01T07:14:38.5570000Z,20631,20645,20631,20644,1.45269068,28,2022-11-01 07:10:00+00:00,2022-11-01 07:15:00+00:00
2022-11-01T07:15:02.7300000Z,2022-11-01T07:19:56.8540000Z,20647,20648,20609,20616,1.55959842,26,2022-11-01 07:15:00+00:00,2022-11-01 07:20:00+00:00
2022-11-01T07:20:08.2660000Z,2022-11-01T07:24:51.5160000Z,20619,20632,20578,20578,5.47041938,42,2022-11-01 07:20:00+00:00,2022-11-01 07:25:00+00:00
2022-11-01T07:25:18.2240000Z,2022-11-01T07:29:54.6290000Z,20571,20588,20565,20567,5.42883146,39,2022-11-01 07:25:00+00:00,2022-11-01 07:30:00+00:00
2022-11-01T07:30:04.1350000Z,2022-11-01T07:34:59.5640000Z,20565,20580,20560,20580,4.91003898,43,2022-11-01 07:30:00+00:00,2022-11-01 07:35:00+00:00
2022-11-01T07:35:36.1670000Z,2022-11-01T07:39:54.0520000Z,20580,20588,20574,20574,1.15493772,25,2022-11-01 07:35:00+00:00,2022-11-01 07:40:00+00:00
2022-11-01T07:40:14.0870000Z,2022-11-01T07:44:20.5180000Z,20570,20584,20570,20575,1.45610575,23,2022-11-01 07:40:00+00:00,2022-11-01 07:45:00+00:00
2022-11-01T07:45:32.8470000Z,2022-11-01T07:49:23.5340000Z,20578,20581,20574,20574,0.30866134,17,2022-11-01 07:45:00+00:00,2022-11-01 07:50:00+00:00
2022-11-01T07:50:39.9910000Z,2022-11-01T07:54:32.7770000Z,20580,20581,20578,20579,0.84516594,16,2022-11-01 07:50:00+00:00,2022-11-01 07:55:00+00:00
2022-11-01T07:55:13.3790000Z,2022-11-01T07:59:38.8330000Z,20579,20595,20573,20595,0.15967049,24,2022-11-01 07:55:00+00:00,2022-11-01 08:00:00+00:00
2022-11-01T08:00:15.0590000Z,2022-11-01T08:04:18.6400000Z,20594,20613,20594,20612,1.49944087,33,2022-11-01 08:00:00+00:00,2022-11-01 08:05:00+00:00
2022-11-01T08:05:11.0960000Z,2022-11-01T08:09:37.4210000Z,20619,20634,20617,20618,0.87818922,27,2022-11-01 08:05:00+00:00,2022-11-01 08:10:00+00:00
2022-11-01T08:10:12.8720000Z,2022-11-01T08:14:43.4550000Z,20618,20624,20618,20622,0.22060526,16,2022-11-01 08:10:00+00:00,2022-11-01 08:15:00+00:00
2022-11-01T08:15:41.8620000Z,2022-11-01T08:19:48.5810000Z,20621,20621,20599,20610,2.35040631,23,2022-11-01 08:15:00+00:00,2022-11-01 08:20:00+00:00
